"gel.id","strain.id","strain.x","trt.x","lim.x","cID.x","tm.pt.x","tm.pt.y","mw.list","lpda.list","band.list","omean.list","olow.list","ohigh.list","rel.int.list"
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,23.22,19.12,12,"1",1.2,1.1,0.0117
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,78.22,19.12,1,"17",17.4,16.4,0.0309
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,35,19.12,7,"5",4.7,4.4,0.0212
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,27.8,19.12,10,"2",2.6,2.4,0.0523
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,29.75,19.12,9,"3",3.1,3,0.0359
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,41.88,19.12,4,"7",6.7,6.3,0.3062
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,39.25,19.12,5,"6",5.9,5.6,0.0302
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,37.75,19.12,6,"5",5.5,5.2,0.0228
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,49.87,19.12,2,"9",9,8.5,0.1054
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,46.41,19.12,3,"8",8,7.6,0.2888
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,31.88,19.12,8,"4",3.8,3.5,0.0226
"20160413-gel3","235-01N2S1","01N2S1","C","N","N2","1",1,28.82,19.26,1,"3",2.8,2.7,0.0329
"20160413-gel3","236-01N3S3","01N3S3","C","N","N3","1",1,29,19.17,1,"3",2.9,2.7,0.1174
"20160413-gel3","237-19P5S5","19P5S5","T","P","P5","19",19,23.14,19.26,1,"1",1.1,1.1,0.1558
"20160413-gel4","244-19P5S3","19P5S3","T","P","P5","19",19,41.73,19.13,2,"6",6.6,6.3,0.363
"20160413-gel4","244-19P5S3","19P5S3","T","P","P5","19",19,27.96,19.13,4,"3",2.6,2.5,0.0328
"20160413-gel4","244-19P5S3","19P5S3","T","P","P5","19",19,23.72,19.13,5,"1",1.4,1.3,0.0574
"20160413-gel4","244-19P5S3","19P5S3","T","P","P5","19",19,29,19.13,3,"3",2.9,2.7,0.047
"20160413-gel4","244-19P5S3","19P5S3","T","P","P5","19",19,45.42,19.13,1,"8",7.7,7.3,0.411
"20160413-gel4","248-19P4S5","19P4S5","T","P","P4","19",19,28.22,18.35,3,"3",2.9,2.7,0.1302
"20160413-gel4","248-19P4S5","19P4S5","T","P","P4","19",19,22.59,18.35,4,"1",1.2,1.2,0.067
"20160413-gel4","248-19P4S5","19P4S5","T","P","P4","19",19,40.49,18.35,2,"6",6.5,6.2,0.0959
"20160413-gel4","248-19P4S5","19P4S5","T","P","P4","19",19,42.68,18.35,1,"7",7.2,6.8,0.1462
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,42.99,13.96,5,"8",8.5,8.1,0.2319
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,19.25,13.96,11,"2",1.6,1.5,0.0334
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,24.89,13.96,9,"3",3.2,3,0.1204
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,58.3,13.96,3,"13",13,12.3,0.0537
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,82,13.96,2,"19",20,18.9,0.0225
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,17.46,13.96,12,"1",1,1,3e-04
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,22.94,13.96,10,"3",2.6,2.5,0.1607
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,106.7,13.96,1,"26",27.3,25.8,0.0099
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,26.98,13.96,8,"4",3.8,3.6,0.0895
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,32.39,13.96,6,"5",5.4,5.1,0.0247
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,28.58,13.96,7,"4",4.3,4.1,0.0568
"20160420-gel1","245-19N3S4","19N3S4","T","N","N3","19",19,50.4,13.96,4,"10",10.7,10.1,0.1962
